EECE 253 Times,,,,,,,
,,,,,,,
A/C Intra-Session Time,M203,M207,M211,M215,M257,M315,M323
,G1+G2,G3+G4,G5+G6,G7+G8,G9+GA,GB+GC,GD+GE
0:00-0:18,TA1,TA2,TA3,TA4,TA5,TA6,TA7
0:18-0:36,TA2,TA3,TA4,TA5,TA6,TA7,TA1
0:36-0:54,TA3,TA4,TA5,TA6,TA7,TA1,TA2
0:54:1:12,TA4,TA5,TA6,TA7,TA1,TA2,TA3
1:12-1:30,TA5,TA6,TA7,TA1,TA2,TA3,TA4
1:30-1:48,TA6,TA7,TA1,TA2,TA3,TA4,TA5
,,,,,,,
B/D Intra-Session Time,M203,M207,M211,M215,M257,M315,
,G1+G2,G3+G4,G5+G6,G7+G8,G9+GA,GB+GC,
0:00-0:18,TA1,TA2,TA3,TA4,TA5,TA6,
0:18-0:36,TA2,TA3,TA4,TA5,TA6,TA1,
0:36-0:54,TA3,TA4,TA5,TA6,TA1,TA2,
0:54:1:12,TA4,TA5,TA6,TA1,TA2,TA3,
1:12-1:30,TA5,TA6,TA1,TA2,TA3,TA4,
1:30-1:48,TA6,TA1,TA2,TA3,TA4,TA5,
,,,,,,,
EECE 261 Times ,,,,,,,
A/D Intra-Session Time,M203,M207,M211,M215,M257,M315,M323
,G1+G2,G3+G4,G5+G6,G7+G8,G9+GA,GB+GC,GD+GE
0:30-0:50,T1,T2,T3,T4,T5,T6_3,T7_4
0:50-1:10,T2,T3,T4,T5,T6_3,T7_4,T1
1:10-1:30,T3,T4,T5,T6_1,T7_2,T1,T2
1:30-1:50,T4,T5,T6_1,T7_2,T1,T2,T3
"*Group D won't require M323 so that's a ""free"" slot",,,,,,,
,,,,,,,
B/C Intra-Session Time,M203,M207,M211,M215,M257,M315,M323
,G1+G2,G3+G4,G5+G6,G7+G8,G9+GA,GB+GC,GD+GE
0:00-0:20,T1,T2,T3,T4,T5,T6_3,T7_4
0:20-0:40,T2,T3,T4,T5,T6_3,T7_4,T1
0:40-1:00,T3,T4,T5,T6_1,T7_2,T1,T2
1:00-1:20,T4,T5,T6_1,T7_2,T1,T2,T3
"*Group B won't require M323 and Group C won't require M211 so those are ""free"" slots",,,,,,,